Year,Month,Gas Data
1956,Jan,1709
1956,Feb,1646
1956,Mar,1794
1956,Apr,1878
1956,May,2173
1956,Jun,2321
1956,Jul,2468
1956,Aug,2416
1956,Sep,2184
1956,Oct,2121
1956,Nov,1962
1956,Dec,1825
1957,Jan,1751
1957,Feb,1688
1957,Mar,1920
1957,Apr,1941
1957,May,2311
1957,Jun,2279
1957,Jul,2638
1957,Aug,2448
1957,Sep,2279
1957,Oct,2163
1957,Nov,1941
1957,Dec,1878
1958,Jan,1773
1958,Feb,1688
1958,Mar,1783
1958,Apr,1984
1958,May,2290
1958,Jun,2511
1958,Jul,2712
1958,Aug,2522
1958,Sep,2342
1958,Oct,2195
1958,Nov,1931
1958,Dec,1910
1959,Jan,1730
1959,Feb,1688
1959,Mar,1899
1959,Apr,1994
1959,May,2342
1959,Jun,2553
1959,Jul,2712
1959,Aug,2627
1959,Sep,2363
1959,Oct,2311
1959,Nov,2026
1959,Dec,1910
1960,Jan,1762
1960,Feb,1815
1960,Mar,2005
1960,Apr,2089
1960,May,2617
1960,Jun,2828
1960,Jul,2965
1960,Aug,2891
1960,Sep,2532
1960,Oct,2363
1960,Nov,2216
1960,Dec,2026
1961,Jan,1804
1961,Feb,1773
1961,Mar,2015
1961,Apr,2089
1961,May,2627
1961,Jun,2712
1961,Jul,3007
1961,Aug,2880
1961,Sep,2490
1961,Oct,2237
1961,Nov,2205
1961,Dec,1984
1962,Jan,1868
1962,Feb,1815
1962,Mar,2047
1962,Apr,2142
1962,May,2743
1962,Jun,2775
1962,Jul,3028
1962,Aug,2965
1962,Sep,2501
1962,Oct,2501
1962,Nov,2131
1962,Dec,2015
1963,Jan,1910
1963,Feb,1868
1963,Mar,2121
1963,Apr,2268
1963,May,2690
1963,Jun,2933
1963,Jul,3218
1963,Aug,3028
1963,Sep,2659
1963,Oct,2406
1963,Nov,2258
1963,Dec,2057
1964,Jan,1889
1964,Feb,1984
1964,Mar,2110
1964,Apr,2311
1964,May,2785
1964,Jun,3039
1964,Jul,3229
1964,Aug,3070
1964,Sep,2659
1964,Oct,2543
1964,Nov,2237
1964,Dec,2142
1965,Jan,1962
1965,Feb,1910
1965,Mar,2216
1965,Apr,2437
1965,May,2817
1965,Jun,3123
1965,Jul,3345
1965,Aug,3112
1965,Sep,2659
1965,Oct,2469
1965,Nov,2332
1965,Dec,2110
1966,Jan,1910
1966,Feb,1941
1966,Mar,2216
1966,Apr,2342
1966,May,2923
1966,Jun,3229
1966,Jul,3513
